Visitor,Plant,Elevation,Site,Data,Day,Month,Year,ElevationCorrect,Plant2,MinEle,MaxEle,AltZone,EleZone
Bombus mesomelas,Centaurea nigra,1000,Gedre,MacLeod,25,8,1889,1000,Centaurea nigra,1000,1000,montane,1000-1200
Bombus terrestris complex,Echium vulgare (incl. forma pyrenaica),1000,Gedre,MacLeod,25,8,1889,1000,Echium vulgare,1000,1000,montane,1000-1200
Bombus terrestris complex,Satureia montana,1000,Gedre,MacLeod,25,8,1889,1000,Satureja montana,1000,1000,montane,1000-1200
Bombus terrestris complex,Centaurea nigra,1000,Gedre,MacLeod,25,8,1889,1000,Centaurea nigra,1000,1000,montane,1000-1200
Bombus terrestris complex,Centaurea scabiosa,1000,Gedre,MacLeod,5,8,1889,1000,Centaurea scabiosa,1000,1000,montane,1000-1200
Bombus terrestris complex,Silene inflata,1000,Gedre,MacLeod,25,8,1889,1000,Silene inflata,1000,1000,montane,1000-1200
Bombus terrestris complex,Clematis vitalba,1000,Gedre,MacLeod,11,8,1889,1000,Clematis vitalba,1000,1000,montane,1000-1200
Bombus terrestris complex,Papaver rhaeas,1000,Gedre,MacLeod,10,8,1889,1000,Papaver rhaeas,1000,1000,montane,1000-1200
Bombus terrestris complex,Tilia sylvestris,1000,Gedre,MacLeod,7,8,1889,1000,Tilia sylvestris,1000,1000,montane,1000-1200
Bombus terrestris complex,Sedum telephium,1000,Gedre,MacLeod,31,8,1889,1000,Sedum telephium,1000,1000,montane,1000-1200
Bombus terrestris complex,Merendera bulbocodium,1000,Gedre,MacLeod,25,8,1889,1000,Merendera bulbocodium,1000,1000,montane,1000-1200
Bombus humilis,Merendera bulbocodium,1000,Gedre,MacLeod,26,8,1889,1000,Merendera bulbocodium,1000,1000,montane,1000-1200
Bombus humilis,Echium vulgare (incl. forma pyrenaica),1000,Gedre,MacLeod,25,8,1889,1000,Echium vulgare,1000,1000,montane,1000-1200
Bombus humilis,Origanum vulgare,1000,Gedre,MacLeod,5,8,1889,1000,Origanum vulgare,1000,1000,montane,1000-1200
Bombus humilis,Lappa minor,1000,Gedre,MacLeod,8,8,1889,1000,Lappa minor,1000,1000,montane,1000-1200
Bombus humilis,Trifolium repens,1000,Gedre,MacLeod,5,8,1889,1000,Trifolium repens,1000,1000,montane,1000-1200
Bombus humilis,Lathyrus pyrenaicus?,1000,Gedre,MacLeod,26,8,1889,1000,Lathyrus pyrenaicus?,1000,1000,montane,1000-1200
Bombus hortorum,Knautia arvensis,1050,Gedre,MacLeod,29,8,1889,1050,Knautia arvensis,1050,1050,montane,1000-1200
Bombus terrestris complex,Cirsium monspessulanum,1050,Gedre,MacLeod,29,8,1889,1050,Cirsium monspessulanum,1050,1050,montane,1000-1200
Bombus pascuorum,Calamintha alpina,1100,Gedre,MacLeod,28,8,1889,1100,Calamintha alpina,1100,1100,montane,1000-1200
Bombus pascuorum,Clinopodium vulgare,1100,Gedre,MacLeod,8,8,1889,1100,Clinopodium vulgare,1100,1100,montane,1000-1200
Bombus pascuorum,Clinopodium vulgare,1100,Gedre,MacLeod,11,8,1889,1100,Clinopodium vulgare,1100,1100,montane,1000-1200
Bombus pascuorum,Clinopodium vulgare,1100,Gedre,MacLeod,12,8,1889,1100,Clinopodium vulgare,1100,1100,montane,1000-1200
Bombus pascuorum,Ballota foetida,1100,Gedre,MacLeod,9,8,1889,1100,Ballota foetida,1100,1100,montane,1000-1200
Bombus hortorum,Clinopodium vulgare,1100,Gedre,MacLeod,8,8,1889,1100,Clinopodium vulgare,1100,1100,montane,1000-1200
Bombus wurflenii,Clinopodium vulgare,1100,Gedre,MacLeod,8,8,1889,1100,Clinopodium vulgare,1100,1100,montane,1000-1200
Bombus terrestris complex,Ballota foetida,1100,Gedre,MacLeod,9,8,1889,1100,Ballota foetida,1100,1100,montane,1000-1200
Bombus pascuorum,Teucrium pyrenaicum,1100,Gedre,MacLeod,7,8,1889,1100,Teucrium pyrenaicum,1100,1100,montane,1000-1200
Bombus pascuorum,scabiosa columbaria,1100,Gedre,MacLeod,8,8,1889,1100,Scabiosa columbaria,1100,1100,montane,1000-1200
Bombus pascuorum,Carduus medius,1100,Gedre,MacLeod,8,8,1889,1100,Carduus defloratus,1100,1100,montane,1000-1200
Bombus pascuorum,Thymus serpyllum,1100,Gedre,MacLeod,9,8,1889,1100,Thymus serpyllum,1100,1100,montane,1000-1200
Bombus pascuorum,Teucrium chamaedrys,1100,Gedre,MacLeod,11,8,1889,1100,Teucrium chamaedrys,1100,1100,montane,1000-1200
Bombus pascuorum,Lotus corniculatus,1100,Gedre,MacLeod,12,8,1889,1100,Lotus corniculatus,1100,1100,montane,1000-1200
Bombus sichelii,scabiosa columbaria,1100,Gedre,MacLeod,9,8,1889,1100,Scabiosa columbaria,1100,1100,montane,1000-1200
Bombus hortorum,Cirsium lanceolatum,1100,Gedre,MacLeod,12,8,1889,1100,Cirsium lanceolatum,1100,1100,montane,1000-1200
Bombus hortorum,Carduus medius,1100,Gedre,MacLeod,8,8,1889,1100,Carduus defloratus,1100,1100,montane,1000-1200
Bombus hortorum,Centaurea scabiosa,1100,Gedre,MacLeod,8,8,1889,1100,Centaurea scabiosa,1100,1100,montane,1000-1200
Bombus lapidarius,Allium fallax,1100,Gedre,MacLeod,8,8,1889,1100,Allium lusitanicum,1100,1100,montane,1000-1200
Bombus lapidarius,Verbena officinalis,1100,Gedre,MacLeod,28,8,1889,1100,Verbena officinalis,1100,1100,montane,1000-1200
Bombus lapidarius,Satureia montana,1100,Gedre,MacLeod,26,8,1889,1100,Satureja montana,1100,1100,montane,1000-1200
Bombus lapidarius,Cirsium arvense,1100,Gedre (op akkerland),MacLeod,12,8,1889,1100,Cirsium arvense,1100,1100,montane,1000-1200
Bombus lapidarius,Crepis virens,1100,Gedre,MacLeod,9,8,1889,1100,Crepis sp.,1100,1100,montane,1000-1200
Bombus lapidarius,Trifolium repens,1100,Gedre,MacLeod,8,8,1889,1100,Trifolium repens,1100,1100,montane,1000-1200
Bombus lapidarius,Lotus corniculatus,1100,,MacLeod,8,8,1889,1100,Lotus corniculatus,1100,1100,montane,1000-1200
Bombus wurflenii,Trifolium pratense,1100,Gedre,MacLeod,8,8,1889,1100,Trifolium pratense,1100,1100,montane,1000-1200
Bombus wurflenii,Trifolium pratense,1100,Gedre,MacLeod,12,8,1889,1100,Trifolium pratense,1100,1100,montane,1000-1200
Bombus wurflenii,Lathyrus pyrenaicus?,1100,Gedre,MacLeod,9,8,1889,1100,Lathyrus pyrenaicus?,1100,1100,montane,1000-1200
Bombus mucidus,Brunella alba,1100,Gedre,MacLeod,9,8,1889,1100,Brunella alba,1100,1100,montane,1000-1200
Bombus mesomelas,Verbena officinalis,1100,Gedre,MacLeod,28,8,1889,1100,Verbena officinalis,1100,1100,montane,1000-1200
Bombus mesomelas,Trifolium pratense,1100,Gedre,MacLeod,8,8,1889,1100,Trifolium pratense,1100,1100,montane,1000-1200
Bombus ruderarius,Brunella alba,1100,Gedre,MacLeod,9,8,1889,1100,Brunella alba,1100,1100,montane,1000-1200
Bombus soroeensis,Origanum vulgare,1100,Gedre,MacLeod,26,8,1889,1100,Origanum vulgare,1100,1100,montane,1000-1200
Bombus terrestris complex,Verbena officinalis,1100,Gedre,MacLeod,28,8,1889,1100,Verbena officinalis,1100,1100,montane,1000-1200
Bombus terrestris complex,Thymus serpyllum,1100,Gedre,MacLeod,6,8,1889,1100,Thymus serpyllum,1100,1100,montane,1000-1200
Bombus terrestris complex,Stachys recta,1100,Gedre,MacLeod,26,8,1889,1100,Stachys recta,1100,1100,montane,1000-1200
Bombus terrestris complex,Marrubium vulgare,1100,Gedre,MacLeod,9,8,1889,1100,Marrubium vulgare,1100,1100,montane,1000-1200
Bombus terrestris complex,Brunella vulgaris,1100,Gedre,MacLeod,11,8,1889,1100,Brunella vulgaris,1100,1100,montane,1000-1200
Bombus terrestris complex,Campanula rotundifolia,1100,Gedre,MacLeod,8,8,1889,1100,Campanula rotundifolia,1100,1100,montane,1000-1200
Bombus terrestris complex,Campanula rotundifolia,1100,Gedre,MacLeod,9,8,1889,1100,Campanula rotundifolia,1100,1100,montane,1000-1200
Bombus terrestris complex,Campanula rotundifolia,1100,Gedre,MacLeod,12,8,1889,1100,Campanula rotundifolia,1100,1100,montane,1000-1200
Bombus humilis,Verbena officinalis,1100,Gedre,MacLeod,28,8,1889,1100,Verbena officinalis,1100,1100,montane,1000-1200
Bombus humilis,Stachys recta,1100,Gedre,MacLeod,9,8,1889,1100,Stachys recta,1100,1100,montane,1000-1200
Bombus humilis,Sideritis hyssopifolia,1100,Gedre,MacLeod,9,8,1889,1100,Sideritis hyssopifolia,1100,1100,montane,1000-1200
Bombus humilis,Campanula rapunculoides,1100,Gedre,MacLeod,9,8,1889,1100,Campanula rapunculoides,1100,1100,montane,1000-1200
Bombus bohemicus,Cirsium monspessulanum,1105,P156,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus lapidarius,Cirsium monspessulanum,1105,P156,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus quadricolor,Cirsium monspessulanum,1105,P156,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus pascuorum,Cirsium monspessulanum,1105,P156,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus soroeensis,Cirsium monspessulanum,1105,P156,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus bohemicus,Cirsium monspessulanum,1105,P157,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus quadricolor,Cirsium monspessulanum,1105,P157,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus quadricolor,Cirsium monspessulanum,1105,P157,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus quadricolor,Cirsium monspessulanum,1105,P157,Biesmeijer,22,8,2005,1105,Cirsium monspessulanum,1105,1105,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1109,P300,Biesmeijer,21,8,2006,1109,Centaurea nigra,1109,1109,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1109,P300,Biesmeijer,21,8,2006,1109,Centaurea nigra,1109,1109,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1109,P300,Biesmeijer,21,8,2006,1109,Centaurea nigra,1109,1109,montane,1000-1200
Bombus quadricolor,Cirsium monspessulanum,1109,P302,Biesmeijer,21,8,2006,1109,Cirsium monspessulanum,1109,1109,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1110,P153x,Biesmeijer,22,8,2005,1110,Cirsium vulgare,1110,1110,montane,1000-1200
Bombus lapidarius,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1113,P161,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus quadricolor,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1113,P162,Biesmeijer,22,8,2005,1113,Centaurea nigra,1113,1113,montane,1000-1200
Bombus hortorum,Galeopsis pyrenaica,1116,P151,Biesmeijer,22,8,2005,1116,Galeopsis ladanum,1116,1116,montane,1000-1200
Bombus hortorum,Galeopsis pyrenaica,1116,P151,Biesmeijer,22,8,2005,1116,Galeopsis ladanum,1116,1116,montane,1000-1200
Bombus terrestris complex,Galeopsis pyrenaica,1116,P151x,Biesmeijer,22,8,2005,1116,Galeopsis ladanum,1116,1116,montane,1000-1200
Bombus hortorum,Galeopsis pyrenaica,1116,P151x,Biesmeijer,22,8,2005,1116,Galeopsis ladanum,1116,1116,montane,1000-1200
Bombus hortorum,Galeopsis pyrenaica,1116,P151x,Biesmeijer,22,8,2005,1116,Galeopsis ladanum,1116,1116,montane,1000-1200
Bombus quadricolor,Picris hieracioides,1120,P303,Biesmeijer,21,8,2006,1120,Picris hieracioides,1120,1120,montane,1000-1200
Bombus pascuorum,Picris hieracioides,1120,P303,Biesmeijer,21,8,2006,1120,Picris hieracioides,1120,1120,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1123,P148,Biesmeijer,22,8,2005,1123,Cirsium vulgare,1123,1123,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1123,P148x,Biesmeijer,22,8,2005,1123,Cirsium vulgare,1123,1123,montane,1000-1200
Bombus hortorum,Galeopsis angustifolia,1123,P266,Biesmeijer,19,8,2006,1123,Galeopsis ladanum,1123,1123,montane,1000-1200
Bombus humilis,Centaurea nigra,1144,P132,Biesmeijer,19,8,2005,1144,Centaurea nigra,1144,1144,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1144,P132,Biesmeijer,19,8,2005,1144,Centaurea nigra,1144,1144,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1144,P132,Biesmeijer,19,8,2005,1144,Centaurea nigra,1144,1144,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1144,P133,Biesmeijer,19,8,2005,1144,Cirsium vulgare,1144,1144,montane,1000-1200
Bombus soroeensis,Satureja montana,1144,P260,Biesmeijer,19,8,2006,1144,Satureja montana,1144,1144,montane,1000-1200
Bombus soroeensis,Satureja montana,1144,P261,Biesmeijer,19,8,2006,1144,Satureja montana,1144,1144,montane,1000-1200
Bombus pascuorum,Satureja montana,1144,P261,Biesmeijer,19,8,2006,1144,Satureja montana,1144,1144,montane,1000-1200
Bombus pascuorum,Teucrium chamaedrys,1150,Gedre,MacLeod,26,8,1889,1150,Teucrium chamaedrys,1150,1150,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1150,P137x,Biesmeijer,19,8,2005,1150,Centaurea nigra,1150,1150,montane,1000-1200
Bombus pascuorum,Centaurea nigra,1155,P140,Biesmeijer,19,8,2005,1155,Centaurea nigra,1155,1155,montane,1000-1200
Bombus soroeensis,Centaurea nigra,1155,P140,Biesmeijer,19,8,2005,1155,Centaurea nigra,1155,1155,montane,1000-1200
Bombus soroeensis,Cirsium monspessulanum,1172,P249,Biesmeijer,18,8,2006,1172,Cirsium monspessulanum,1172,1172,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1176,P164,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1176,P164,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1176,P164,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1176,P164,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus mesomelas,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus bohemicus,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus quadricolor,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus pascuorum,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus soroeensis,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
Bombus hortorum,Cirsium vulgare,1176,P166,Biesmeijer,22,8,2005,1176,Cirsium vulgare,1176,1176,montane,1000-1200
