Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Aricia cramera,Origanum vulgare,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Polyommatus coridon,Origanum vulgare,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Polyommatus coridon,Origanum vulgare,7/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Melitaea diamina,Origanum vulgare,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus pascuorum,Picris hieracioides,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus mesomelas,Satureja montana,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Satureja montana,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus mesomelas,Scabiosa columbaria,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Maniola jurtina,Scabiosa columbaria,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Zygaena sp.,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Tebenna pretiosana,Seseli libanotis,29/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus wurflenii,Verbena officinalis,11/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Maniola jurtina,Verbena officinalis,11/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus lapidarius,Centaurea nigra,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus lapidarius,Centaurea nigra,25/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus humilis,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus humilis,Centaurea nigra,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus quadricolor,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Maniola jurtina,Centaurea nigra,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus humilis,Satureja montana,26/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Scabiosa columbaria,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Melanargia lachesis,Carduus defloratus,7/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Melanargia lachesis,Carduus defloratus,12/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Zygaena sp.,Centaurea nigra,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Zygaena sp.,Centaurea nigra,7/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,5/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,8/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,10/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Rubus fruticosus,29/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,10/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,11/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Pieris rapae,Verbena officinalis,28/08/1889,Gedre,Survey1889,1000,1000,1000-1200
Bombus terrestris complex,Cirsium monspessulanum,29/08/1889,Gedre,Survey1889,1050,1050,1000-1200
Polyommatus icarus,Verbena officinalis,26/08/1889,Gedre,Survey1889,1050,1050,1000-1200
Bombus lapidarius,Allium lusitanicum,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mesomelas,Carduus defloratus,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Carduus defloratus,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Carduus defloratus,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Centaurea scabiosa,8/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Cirsium arvense,12/08/1889,Gedre (op akkerland),Survey1889,1100,1100,1000-1200
Pieris brassicae,Cirsium monspessulanum,9/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Zygaena sp.,Cirsium monspessulanum,29/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Cirsium vulgare,12/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Crepis sp.,9/08/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus soroeensis,Origanum vulgare,26/08/1889,Gedre,Survey1889,1100,1100,1000-1200
