Visitor,Plant,Date,Site,Data,MinEle,MaxEle,EleZone
Bombus terrestris complex,Cirsium monspessulanum,29/8/1889,Gedre,Survey1889,1050,1050,1000-1200
Bombus pascuorum,Calamintha alpina,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Clinopodium vulgare,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Clinopodium vulgare,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Ballota foetida,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus wurflenii,Clinopodium vulgare,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus terrestris complex,Ballota foetida,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Teucrium pyrenaicum,7/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Scabiosa columbaria,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Thymus serpyllum,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Teucrium chamaedrys,11/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus pascuorum,Lotus corniculatus,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus sichelii,Scabiosa columbaria,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Cirsium lanceolatum,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Carduus defloratus,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus hortorum,Centaurea scabiosa,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Allium lusitanicum,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Verbena officinalis,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Satureja montana,26/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Cirsium arvense,12/8/1889,Gedre (op akkerland),Survey1889,1100,1100,1000-1200
Bombus lapidarius,Crepis sp.,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Trifolium repens,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus lapidarius,Lotus corniculatus,8/8/1889,,Survey1889,1100,1100,1000-1200
Bombus wurflenii,Trifolium pratense,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus wurflenii,Trifolium pratense,12/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus wurflenii,Lathyrus pyrenaicus?,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mucidus,Brunella alba,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mesomelas,Verbena officinalis,28/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus mesomelas,Trifolium pratense,8/8/1889,Gedre,Survey1889,1100,1100,1000-1200
Bombus ruderarius,Brunella alba,9/8/1889,Gedre,Survey1889,1100,1100,1000-1200
